name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,status,Finish,maybeboard,image URL,image Back URL,tags,Notes,MTGO ID
"Zetalpa, Primal Dawn",8,"Legendary Creature - Elder Dinosaur",W,"rix","30",rare,w,Owned,,false,,,"xgeneric","",66513
"Blacksmith's Skill",1,"Instant",W,"mh2","381",common,w,Owned,,false,,,"wu-artifacts","",91035
"Path to Exile",1,"Instant",W,"con","15",uncommon,w,Owned,,false,,,"xgeneric","",31733
"Swords to Plowshares",1,"Instant",W,"mkc","88",uncommon,w,Owned,,false,,,"xgeneric","",122316
"Phalanx Tactics",2,"Instant",W,"thb","31",uncommon,w,Owned,,false,,,"xgeneric","",79186
"Razorgrass Ambush",2,"Instant",W,"mh3","238",uncommon,w,Owned,,false,,,"xgeneric","",126497
"Reprieve",2,"Instant",W,"ltr","26",uncommon,w,Owned,,false,,,"xgeneric","",111962
"Unbounded Potential",2,"Instant",W,"mh2","36",common,w,Owned,,false,,,"gw-1/1counters","",90441
"Break Ties",3,"Instant",W,"mh2","8",common,w,Owned,,false,,,"xgeneric","",90385
"Lens Flare",5,"Instant",W,"mh2","20",common,w,Owned,,false,,,"wu-artifacts","",90409
"Open the Armory",2,"Sorcery",W,"soi","32",uncommon,w,Owned,,false,,,"rw-equipments","",59966
"Recommission",2,"Sorcery",W,"bro","22",common,w,Owned,,false,,,"wb-reanimator","",104662
"Ascend from Avernus",3,"Sorcery",W,"clb","5",rare,w,Owned,,false,,,"wb-reanimator","",
"By Invitation Only",5,"Sorcery",W,"vow","5",rare,w,Owned,,false,,,"xgeneric","",94292
"Maul of the Skyclaves",3,"Artifact - Equipment",W,"znr","27",rare,w,Owned,,false,,,"rw-equipments","",82995
"Plate Armor",3,"Artifact - Equipment",W,"afr","32",uncommon,w,Owned,,false,,,"rw-equipments","",91566
"Avacyn's Memorial",8,"Legendary Artifact",W,"mic","31",mythic,w,Owned,,false,,,"xgeneric","",93852
"All That Glitters",2,"Enchantment - Aura",W,"eld","2",uncommon,w,Owned,,false,,,"wu-artifacts","",78090
"Michiko's Reign of Truth",2,"Enchantment - Saga",W,"neo","29",uncommon,w,Owned,,false,,,"wu-artifacts","",96968
"Bound in Gold",3,"Enchantment - Aura",W,"khm","5",common,w,Owned,,false,,,"xgeneric","",87329
"Felidar Retreat",4,"Enchantment",W,"znr","16",rare,w,Owned,,false,,,"gw-1/1counters","",82969
"Elspeth Conquers Death",5,"Enchantment - Saga",W,"thb","13",rare,w,Owned,,false,,,"wb-reanimator","",79150
"Chief Engineer",2,"Creature - Vedalken Artificer",U,"m15","47",rare,u,Owned,,false,,,"wu-artifacts","",53638
"Faerie Vandal",2,"Creature - Faerie Rogue",U,"znc","26",uncommon,u,Owned,Non-foil,false,,,"gu-draw","",
"Foul Watcher",2,"Creature - Nightmare Bird",U,"mh2","43",common,u,Owned,,false,,,"ub-selfmill","",90455
"Parcel Myr",2,"Artifact Creature - Clue Myr",U,"mh2","54",common,u,Owned,,false,,,"wu-artifacts","",90477
"Vedalken Infiltrator",2,"Creature - Vedalken Rogue",U,"mh2","73",uncommon,u,Owned,,false,,,"wu-artifacts","",90519
"Volshe Tideturner",2,"Creature - Merfolk Wizard",U,"dmu","77",common,u,Owned,Non-foil,false,,,"ur-instantsandsorc","",102630
"Academy Wall",3,"Creature - Wall",U,"dmu","41",common,u,Owned,Non-foil,false,,,"ur-instantsandsorc","",102558
"Chasm Skulker",3,"Creature - Squid Horror",U,"m15","46",rare,u,Owned,,false,,,"gu-draw","",53628
"Hurkyl, Master Wizard",3,"Legendary Creature - Human Wizard Advisor",U,"bro","51",rare,u,Owned,Non-foil,false,,,"ur-instantsandsorc","",104720
"Nadir Kraken",3,"Creature - Kraken",U,"thb","55",rare,u,Owned,,false,,,"gu-draw","",79234
"Psionic Snoop",3,"Creature - Human Rogue",U,"snc","53",common,u,Owned,,false,,,"ub-selfmill","",98325
"Vedalken Blademaster",3,"Creature - Vedalken Soldier",U,"kld","68",common,u,Owned,Non-foil,false,,,"ur-instantsandsorc","",61645
"Windrider Wizard",3,"Creature - Human Wizard",U,"znr","87",uncommon,u,Owned,Non-foil,false,,,"ur-instantsandsorc","",83133
"Alandra, Sky Dreamer",4,"Legendary Creature - Merfolk Wizard",U,"j22","9",rare,u,Owned,,false,,,"gu-draw","",
"Reef Worm",4,"Creature - Worm",U,"c14","16",rare,u,Owned,,false,,,"xgeneric","",55159
"Skyswimmer Koi",4,"Creature - Fish",U,"neo","79",common,u,Owned,,false,,,"wu-artifacts","",97078
"Talrand, Sky Summoner",4,"Legendary Creature - Merfolk Wizard",U,"m13","72",rare,u,Owned,Non-foil,false,,,"ur-instantsandsorc","",45566
"Body of Knowledge",5,"Creature - Avatar",U,"cmr","59",rare,u,Owned,,false,,,"gu-draw","",84900
"Drownyard Amalgam",5,"Creature - Zombie Horror",U,"mid","50",common,u,Owned,,false,,,"ub-selfmill","",93036
"Mulldrifter",5,"Creature - Elemental",U,"lrw","76",common,u,Owned,,false,,,"gu-draw","",28245
"Kappa Cannoneer",6,"Artifact Creature - Turtle Warrior",U,"nec","14",rare,u,Owned,,false,,,"wu-artifacts","",97776
"Skaab Goliath",6,"Creature - Zombie Giant",U,"isd","76",uncommon,u,Owned,,false,,,"ub-selfmill","",42420
"Steelfin Whale",6,"Creature - Whale",U,"mh2","65",common,u,Owned,,false,,,"wu-artifacts","",90503
"Zahid, Djinn of the Lamp",6,"Legendary Creature - Djinn",U,"dom","76",rare,u,Owned,,false,,,"wu-artifacts","",67617
"Cryptic Serpent",7,"Creature - Serpent",U,"akh","48",uncommon,u,Owned,Non-foil,false,,,"ur-instantsandsorc","",63698
"Tolarian Terror",7,"Creature - Serpent",U,"dmu","72",common,u,Owned,Non-foil,false,,,"ur-instantsandsorc","",102620
"Teferi, Temporal Pilgrim",5,"Legendary Planeswalker - Teferi",U,"bro","293",mythic,u,Owned,,false,,,"gu-draw","",
"Brainstorm",1,"Instant",U,"ice","61",common,u,Owned,,false,,,"xgeneric","",24401
"Opt",1,"Instant",U,"inv","64",common,u,Owned,,false,,,"xgeneric","",14891
"Syncopate",1,"Instant",U,"ody","103",common,u,Owned,,false,,,"xgeneric","",16917
"Counterspell",2,"Instant",U,"cmm","81",common,u,Owned,,false,,,"xgeneric","",115261
"Curate",2,"Instant",U,"stx","40",common,u,Owned,,false,,,"ub-selfmill","",88557
"Disruption Protocol",2,"Instant",U,"neo","51",common,u,Owned,,false,,,"wu-artifacts","",97018
"Essence Scatter",2,"Instant",U,"m10","51",common,u,Owned,,false,,,"xgeneric","",32647
"Memory Lapse",2,"Instant",U,"hml","32a",common,u,Owned,,false,,,"xgeneric","",
"Negate",2,"Instant",U,"mor","43",common,u,Owned,,false,,,"xgeneric","",29010
"Ertai's Scorn",3,"Instant",U,"dmu","48",uncommon,u,Owned,,false,,,"xgeneric","",102572
"Frantic Search",3,"Instant",U,"ulg","32",common,u,Owned,,false,,,"xgeneric","",12615
"Sink into Stupor",3,"Instant",U,"mh3","241",uncommon,u,Owned,,false,,,"xgeneric","",126509
"Thirst for Knowledge",3,"Instant",U,"mrd","53",uncommon,u,Owned,,false,,,"wu-artifacts","",19705
"Commence the Endgame",6,"Instant",U,"war","45",rare,u,Owned,,false,,,"gu-draw","",71696
"Sudden Insight",6,"Instant",U,"afr","77",uncommon,u,Owned,,false,,,"ub-selfmill","",91656
"Preordain",1,"Sorcery",U,"m11","70",common,u,Owned,,false,,,"xgeneric","",37388
"Deep Analysis",4,"Sorcery",U,"cmm","86",common,u,Owned,Non-foil,false,,,"xgeneric","",115271
"Rite of Replication",4,"Sorcery",U,"zen","61",rare,u,Owned,,false,,,"xgeneric","",34770
"Reverse Engineer",5,"Sorcery",U,"aer","42",uncommon,u,Owned,,false,,,"wu-artifacts","",62647
"Said // Done",7,"Sorcery",U,"mh2","60",uncommon,u,Owned,Non-foil,false,,,"ur-instantsandsorc","",90493
"Wizard Class",1,"Enchantment - Class",U,"afr","81",uncommon,u,Owned,,false,,,"gu-draw","",91664
"Frogify",2,"Enchantment - Aura",U,"eld","47",uncommon,u,Owned,,false,,,"xgeneric","",78200
"Locked in the Cemetery",2,"Enchantment - Aura",U,"mid","60",common,u,Owned,,false,,,"ub-selfmill","",93058
"Ominous Seas",2,"Enchantment",U,"iko","61",uncommon,u,Owned,,false,,,"gu-draw","",80131
"Security Bypass",2,"Enchantment - Aura",U,"snc","59",common,u,Owned,,false,,,"ub-selfmill","",98337
"Carrion Feeder",1,"Creature - Zombie",B,"scg","59",common,b,Owned,,false,,,"bg-aristocrats","",18680
"Dockside Chef",1,"Enchantment Creature - Human Citizen",B,"neo","93",uncommon,b,Owned,Non-foil,false,,,"bg-aristocrats","",97106
"Retrofitted Transmogrant",1,"Artifact Creature - Zombie",B,"mh3","106",common,b,Owned,,false,,,"wb-reanimator","",126229
"Viscera Seer",1,"Creature - Vampire Wizard",B,"m11","120",common,b,Owned,Non-foil,false,,,"bg-aristocrats","",37492
"Cabal Initiate",2,"Creature - Human Warlock",B,"mh2","78",common,b,Owned,Non-foil,false,,,"br-madness","",90529
"Echo of Dusk",2,"Creature - Vampire Spirit",B,"lci","104",common,b,Owned,,false,,,"ub-selfmill","",118012
"Gixian Infiltrator",2,"Creature - Phyrexian Human",B,"bro","98",common,b,Owned,,false,,,"bg-aristocrats","",104814
"Nullpriest of Oblivion",2,"Creature - Vampire Cleric",B,"znr","118",rare,b,Owned,,false,,,"wb-reanimator","",83203
"Big Game Hunter",3,"Creature - Human Rebel Assassin",B,"plc","63",uncommon,b,Owned,,false,,,"br-madness","",26493
"Eerie Soultender",3,"Creature - Spirit Cleric",B,"dmu","92",common,b,Owned,,false,,,"ub-selfmill","",102660
"Fell Stinger",3,"Creature - Zombie Scorpion",B,"vow","112",uncommon,b,Owned,Non-foil,false,,,"bg-aristocrats","",94548
"Gilt-Blade Prowler",3,"Creature - Human Rogue",B,"mh2","86",common,b,Owned,Non-foil,false,,,"br-madness","",90545
"Gray Slaad",3,"Creature - Frog Horror",B,"clb","129",common,b,Owned,,false,,,"ub-selfmill","",100272
"Morbid Opportunist",3,"Creature - Human Rogue",B,"mid","113",uncommon,b,Owned,Non-foil,false,,,"bg-aristocrats","",93188
"Phyrexian Rager",3,"Creature - Phyrexian Horror",B,"apc","49",common,b,Owned,,false,,,"xgeneric","",16328
"Tizerus Charger",3,"Creature - Pegasus",B,"mh2","101",common,b,Owned,,false,,,"ub-selfmill","",90575
"Vampire Nighthawk",3,"Creature - Vampire Shaman",B,"zen","116",uncommon,b,Owned,,false,,,"xgeneric","",34530
"Hell Mongrel",4,"Creature - Nightmare Dog",B,"mh2","88",common,b,Owned,Non-foil,false,,,"br-madness","",90549
"Kitchen Imp",4,"Creature - Imp",B,"mh2","89",common,b,Owned,Non-foil,false,,,"br-madness","",90551
"Revel Ruiner",4,"Creature - Octopus Rogue",B,"snc","91",common,b,Owned,,false,,,"ub-selfmill","",98401
"Scurrilous Sentry",4,"Creature - Human Knight Rogue",B,"mh3","108",common,b,Owned,,false,,,"ub-selfmill","",126233
"Tormod, the Desecrator",4,"Legendary Creature - Zombie Wizard",B,"cmr","155",uncommon,b,Owned,,false,,,"wb-reanimator","",85092
"Undercity Necrolisk",4,"Creature - Zombie Lizard",B,"grn","87",uncommon,b,Owned,Non-foil,false,,,"bg-aristocrats","",69547
"Vindictive Vampire",4,"Creature - Vampire",B,"rna","90",uncommon,b,Owned,Non-foil,false,,,"bg-aristocrats","",71180
"Vito's Inquisitor",4,"Creature - Vampire Knight",B,"lci","130",common,b,Owned,Non-foil,false,,,"bg-aristocrats","",118072
"Corpse Connoisseur",5,"Creature - Zombie Wizard",B,"ala","68",uncommon,b,Owned,,false,,,"wb-reanimator","",31271
"Gray Merchant of Asphodel",5,"Creature - Zombie",B,"ths","89",common,b,Owned,,false,,,"xgeneric","",50562
"Necrogoyf",5,"Creature - Lhurgoyf",B,"mh2","398",rare,b,Owned,,false,,,"br-madness","",91069
"Syr Konrad, the Grim",5,"Legendary Creature - Human Knight",B,"eld","107",uncommon,b,Owned,,false,,,"wb-reanimator","",78336
"Young Necromancer",5,"Creature - Human Warlock",B,"mh2","110",uncommon,b,Owned,,false,,,"wb-reanimator","",90593
"Archfiend of Spite",7,"Creature - Demon",B,"c19","14",rare,b,Owned,,false,,,"br-madness","",77082
"Writhing Necromass",7,"Creature - Zombie Giant",B,"dmu","115",common,b,Owned,,false,,,"ub-selfmill","",102706
"Liliana of the Veil",3,"Legendary Planeswalker - Liliana",B,"isd","105",mythic,b,Owned,,false,,,"ub-selfmill","",42616
"Village Rites",1,"Instant",B,"m21","126",common,b,Owned,,false,,,"xgeneric","",81479
"Bitter Triumph",2,"Instant",B,"lci","91",uncommon,b,Owned,,false,,,"xgeneric","",117986
"Go for the Throat",2,"Instant",B,"mbs","43",uncommon,b,Owned,,false,,,"xgeneric","",39447
"Tragic Fall",2,"Instant",B,"mh2","104",common,b,Owned,Non-foil,false,,,"br-madness","",90581
"Demon's Due",4,"Instant",B,"snc","75",common,b,Owned,,false,,,"xgeneric","",98369
"Fell the Profane",4,"Instant",B,"mh3","244",uncommon,b,Owned,,false,,,"xgeneric","",126521
"Dark Withering",6,"Instant",B,"tsp","101",common,b,Owned,,false,,,"br-madness","",25811
"Profane Tutor",0,"Sorcery",B,"mh2","401",rare,b,Owned,,false,,,"xgeneric","",91075
"Bloodchief's Thirst",1,"Sorcery",B,"znr","94",uncommon,b,Owned,,false,,,"xgeneric","",83151
"Bone Splinters",1,"Sorcery",B,"ala","67",common,b,Owned,,false,,,"xgeneric","",31331
"Spark Harvest",1,"Sorcery",B,"war","105",common,b,Owned,,false,,,"bg-aristocrats","",71816
"Exsanguinate",2,"Sorcery",B,"som","61",uncommon,b,Owned,,false,,,"xgeneric","",38325
"Lively Dirge",2,"Sorcery",B,"otj","93",uncommon,b,Owned,,false,,,"wb-reanimator","",124097
"Persist",2,"Sorcery",B,"mh2","400",rare,b,Owned,,false,,,"wb-reanimator","",91073
"Call of the Death-Dweller",3,"Sorcery",B,"iko","78",uncommon,b,Owned,,false,,,"wb-reanimator","",80165
"Discerning Taste",3,"Sorcery",B,"mh2","82",common,b,Owned,,false,,,"ub-selfmill","",90537
"Wander in Death",3,"Sorcery",B,"akh","115",common,b,Owned,,false,,,"ub-selfmill","",63832
"Ambition's Cost",4,"Sorcery",B,"ptk","67",rare,b,Owned,,false,,,"xgeneric","",
"Final Parting",5,"Sorcery",B,"dom","93",uncommon,b,Owned,,false,,,"wb-reanimator","",67651
"From Under the Floorboards",5,"Sorcery",B,"soi","111",rare,b,Owned,,false,,,"br-madness","",60092
"No One Left Behind",5,"Sorcery",B,"bro","109",uncommon,b,Owned,,false,,,"wb-reanimator","",104836
"Altar of Bhaal",2,"Artifact",B,"clb","109",rare,b,Owned,,false,,,"wb-reanimator","",
"Akoum Hellhound",1,"Creature - Elemental Dog",R,"znr","133",common,r,Owned,,false,,,"rg-landfall","",83237
"Dragonmaster Outcast",1,"Creature - Human Shaman",R,"wwk","81",mythic,r,Owned,,false,,,"rg-landfall","",35569
"Goblin Gaveleer",1,"Creature - Goblin Warrior",R,"som","92",common,r,Owned,,false,,,"rw-equipments","",38095
"Goldhound",1,"Artifact Creature - Treasure Dog",R,"snc","108",common,r,Owned,,false,,,"xgeneric","",98435
"Monastery Swiftspear",1,"Creature - Human Monk",R,"2x2","362",common,r,Owned,Non-foil,false,,,"ur-instantsandsorc","",
"Rabbit Battery",1,"Artifact Creature - Equipment Rabbit",R,"neo","157",uncommon,r,Owned,,false,,,"rw-equipments","",97246
"Akoum Stonewaker",2,"Creature - Human Shaman",R,"bfz","140",uncommon,r,Owned,,false,,,"rg-landfall","",58409
"Champion of the Flame",2,"Creature - Human Warrior",R,"dom","116",uncommon,r,Owned,,false,,,"rw-equipments","",67697
"Electrostatic Infantry",2,"Creature - Dwarf Wizard",R,"dmu","122",uncommon,r,Owned,Non-foil,false,,,"ur-instantsandsorc","",102720
"Festival Crasher",2,"Creature - Devil",R,"mid","140",common,r,Owned,Non-foil,false,,,"ur-instantsandsorc","",93248
"Lizard Blades",2,"Artifact Creature - Equipment Lizard",R,"neo","153",rare,r,Owned,,false,,,"rw-equipments","",97238
"Young Pyromancer",2,"Creature - Human Shaman",R,"m14","163",uncommon,r,Owned,,false,,,"ur-instantsandsorc","",49413
"Bonecrusher Giant",3,"Creature - Giant",R,"eld","115",rare,r,Owned,,false,,,"xgeneric","",78352
"Guttersnipe",3,"Creature - Goblin Shaman",R,"scd","145",uncommon,r,Owned,Non-foil,false,,,"ur-instantsandsorc","",103868
"Simian Spirit Guide",3,"Creature - Ape Spirit",R,"plc","122",common,r,Owned,Non-foil,false,,,"ur-instantsandsorc","",26357
"Spelleater Wolverine",3,"Creature - Wolverine",R,"iko","137",common,r,Owned,Non-foil,false,,,"ur-instantsandsorc","",80283
"Spellgorger Weird",3,"Creature - Weird",R,"war","145",common,r,Owned,Non-foil,false,,,"ur-instantsandsorc","",71896
"Valduk, Keeper of the Flame",3,"Legendary Creature - Human Shaman",R,"dom","148",uncommon,r,Owned,,false,,,"rw-equipments","",67761
"Embodiment of Fury",4,"Creature - Elemental",R,"ogw","107",uncommon,r,Owned,,false,,,"rg-landfall","",59297
"Insatiable Gorgers",4,"Creature - Vampire Berserker",R,"emn","134",uncommon,r,Owned,,false,,,"br-madness","",61404
"Pyroceratops",4,"Creature - Elemental Dinosaur",R,"iko","130",common,r,Owned,Non-foil,false,,,"ur-instantsandsorc","",80269
"Rakdos Pit Dragon",4,"Creature - Dragon",R,"dis","69",rare,r,Owned,Non-foil,false,,,"br-madness","",24319
"Spitfire Lagac",4,"Creature - Lizard",R,"znr","167",common,r,Owned,,false,,,"rg-landfall","",83315
"Ox of Agonas",5,"Creature - Ox",R,"thb","147",mythic,r,Owned,Non-foil,false,,,"br-madness","",79418
"Reckless Wurm",5,"Creature - Wurm",R,"plc","120",uncommon,r,Owned,,false,,,"br-madness","",26435
"Moraug, Fury of Akoum",6,"Legendary Creature - Minotaur Warrior",R,"znr","150",mythic,r,Owned,,false,,,"rg-landfall","",83275
"Revolutionist",6,"Creature - Human Wizard",R,"mh2","139",common,r,Owned,Non-foil,false,,,"br-madness","",90655
"Shivan Dragon",6,"Creature - Dragon",R,"lea","174",rare,r,Owned,,false,,,"xgeneric","",
"Oxidda Finisher",7,"Creature - Ogre Rebel",R,"one","143",uncommon,r,Owned,,false,,,"rw-equipments","",106501
"Brute Force",1,"Instant",R,"plc","116",common,r,Owned,,false,,,"xgeneric","",26259
"Lightning Bolt",1,"Instant",R,"lea","161",common,r,Owned,,false,,,"xgeneric","",
"Abrade",2,"Instant",R,"hou","83",uncommon,r,Owned,,false,,,"xgeneric","",64650
"Fling",2,"Instant",R,"sth","82",common,r,Owned,,false,,,"rg-landfall","",10255
"Thrill of Possibility",2,"Instant",R,"eld","146",common,r,Owned,,false,,,"xgeneric","",78422
"Rebel Salvo",3,"Instant",R,"one","144",uncommon,r,Owned,,false,,,"rw-equipments","",106503
"Unexpected Windfall",4,"Instant",R,"afr","164",common,r,Owned,,false,,,"xgeneric","",91830
"Fast // Furious",8,"Instant",R,"mh2","123",uncommon,r,Owned,Non-foil,false,,,"br-madness","",90623
"Crash Through",1,"Sorcery",R,"hou","88",common,r,Owned,,false,,,"xgeneric","",64660
"Avacyn's Judgment",2,"Sorcery",R,"soi","145",rare,r,Owned,Non-foil,false,,,"br-madness","",60086
"Cathartic Reunion",2,"Sorcery",R,"kld","109",common,r,Owned,Non-foil,false,,,"br-madness","",61699
"Crackle with Power",2,"Sorcery",R,"stx","95",mythic,r,Owned,,false,,,"xgeneric","",88667
"Grapeshot",2,"Sorcery",R,"tsp","160",common,r,Owned,,false,,,"ur-instantsandsorc","",25797
"Tormenting Voice",2,"Sorcery",R,"ktk","123",common,r,Owned,,false,,,"xgeneric","",54022
"Change of Fortune",4,"Sorcery",R,"vow","150",rare,r,Owned,Non-foil,false,,,"br-madness","",94638
"Fiery Confluence",4,"Sorcery",R,"c15","26",rare,r,Owned,,false,,,"xgeneric","",
"Malevolent Whispers",4,"Sorcery",R,"soi","173",uncommon,r,Owned,Non-foil,false,,,"br-madness","",59816
"Rumbling Rockslide",4,"Sorcery",R,"iko","134",common,r,Owned,,false,,,"rg-landfall","",80277
"Brass's Bounty",7,"Sorcery",R,"rix","94",rare,r,Owned,,false,,,"rg-landfall","",66641
"Blasphemous Act",9,"Sorcery",R,"isd","130",rare,r,Owned,,false,,,"xgeneric","",42410
"Goldwardens' Gambit",8,"Sorcery",R,"onc","13",rare,r,Owned,,false,,,"rw-equipments","",106889
"Crackling Emergence",2,"Enchantment - Aura",R,"neo","136",common,r,Owned,,false,,,"rg-landfall","",97200
"Blisterpod",1,"Creature - Eldrazi Drone",G,"bfz","163",common,g,Owned,,false,,,"bg-aristocrats","",58451
"Nyxborn Hydra",1,"Enchantment Creature - Hydra",G,"mh3","164",common,g,Owned,,false,,,"gw-1/1counters","",126345
"Servant of the Scale",1,"Creature - Human Soldier",G,"dtk","203",common,g,Owned,,false,,,"gw-1/1counters","",56010
"Wren's Run Hydra",1,"Creature - Hydra",G,"mh2","183",uncommon,g,Owned,,false,,,"gw-1/1counters","",90743
"Duskshell Crawler",2,"Creature - Insect",G,"mh2","156",common,g,Owned,,false,,,"gw-1/1counters","",90689
"Jolrael, Mwonvuli Recluse",2,"Legendary Creature - Human Druid",G,"m21","191",rare,g,Owned,,false,,,"gu-draw","",81609
"Prosperous Innkeeper",2,"Creature - Halfling Citizen",G,"afr","200",uncommon,g,Owned,,false,,,"xgeneric","",91902
"Viridian Emissary",2,"Creature - Phyrexian Elf Scout",G,"mbs","95",common,g,Owned,,false,,,"bg-aristocrats","",39325
"Bloodbriar",3,"Creature - Plant Elemental",G,"emn","151",common,g,Owned,,false,,,"bg-aristocrats","",61450
"Kazandu Mammoth",3,"Creature - Elephant",G,"znr","189",rare,g,Owned,,false,,,"rg-landfall","",83363
"Llanowar Visionary",3,"Creature - Elf Druid",G,"m21","193",common,g,Owned,,false,,,"xgeneric","",81613
"Phantom Nantuko",3,"Creature - Insect Spirit",G,"jud","128",rare,g,Owned,,false,,,"gw-1/1counters","",17610
"Scurry Oak",3,"Creature - Treefolk",G,"mh2","172",uncommon,g,Owned,,false,,,"gw-1/1counters","",90721
"Scute Swarm",3,"Creature - Insect",G,"znr","203",rare,g,Owned,,false,,,"rg-landfall","",83395
"Spore Crawler",3,"Creature - Fungus",G,"vow","222",common,g,Owned,Non-foil,false,,,"bg-aristocrats","",94806
"Tireless Provisioner",3,"Creature - Elf Scout",G,"plst","MH2-180",uncommon,g,Owned,,false,,,"rg-landfall","",
"Beast Whisperer",4,"Creature - Elf Druid",G,"grn","123",rare,g,Owned,,false,,,"gu-draw","",69619
"Burlfist Oak",4,"Creature - Treefolk",G,"m21","174",uncommon,g,Owned,,false,,,"gu-draw","",81575
"Gamekeeper",4,"Creature - Elf",G,"uds","106",uncommon,g,Owned,,false,,,"bg-aristocrats","",12905
"Loxodon Eavesdropper",4,"Creature - Elephant Detective",G,"mkm","168",common,g,Owned,,false,,,"gu-draw","",121812
"Toski, Bearer of Secrets",4,"Legendary Creature - Squirrel",G,"khm","197",rare,g,Owned,,false,,,"gu-draw","",87737
"Ulvenwald Oddity",4,"Creature - Beast",G,"vow","225",rare,g,Owned,,false,,,"xgeneric","",94812
"Defiler of Vigor",5,"Creature - Phyrexian Wurm",G,"dmu","160",rare,g,Owned,,false,,,"gw-1/1counters","",102796
"Sage of Ancient Lore",5,"Creature - Human Shaman Werewolf",G,"soi","225",rare,g,Owned,,false,,,"gu-draw","",60404
"Colossal Dreadmaw",6,"Creature - Dinosaur",G,"xln","180",common,g,Owned,,false,,,"xgeneric","",65378
"Gruff Triplets",6,"Creature - Satyr Warrior",G,"woe","172",rare,g,Owned,,false,,,"bg-aristocrats","",116682
"Realm Seekers",6,"Creature - Elf Scout",G,"cns","38",rare,g,Owned,,false,,,"gu-draw","",
